Mandal,Revenue_Division,District
Ananthagiri,Paderu,Alluri Sitharama Raju
Araku Valley,Paderu,Alluri Sitharama Raju
Chintapalle,Paderu,Alluri Sitharama Raju
Dumbriguda,Paderu,Alluri Sitharama Raju
G. Madugula,Paderu,Alluri Sitharama Raju
Gudem Kotha Veedhi,Paderu,Alluri Sitharama Raju
Hukumpeta,Paderu,Alluri Sitharama Raju
Koyyuru,Paderu,Alluri Sitharama Raju
Munchingi Puttu,Paderu,Alluri Sitharama Raju
Paderu,Paderu,Alluri Sitharama Raju
Peda Bayalu,Paderu,Alluri Sitharama Raju
Atchutapuram,Adduroad Junction,Anakapalli
Elamanchili,Adduroad Junction,Anakapalli
Kotauratla,Adduroad Junction,Anakapalli
Nakkapalle,Adduroad Junction,Anakapalli
Payakaraopeta,Adduroad Junction,Anakapalli
Rambilli,Adduroad Junction,Anakapalli
Sarvasiddhi Rayavaram,Adduroad Junction,Anakapalli
Anakapalle,Anakapalli,Anakapalli
Butchayyapeta,Anakapalli,Anakapalli
Cheedikada,Anakapalli,Anakapalli
Chodavaram,Anakapalli,Anakapalli
Devarapalli,Anakapalli,Anakapalli
K.Kotapadu,Anakapalli,Anakapalli
Kasimkota,Anakapalli,Anakapalli
Munagapaka,Anakapalli,Anakapalli
Paravada,Anakapalli,Anakapalli
Sabbavaram,Anakapalli,Anakapalli
Golugonda,Narasipatnam,Anakapalli
Madugula,Narasipatnam,Anakapalli
Makavarapalem,Narasipatnam,Anakapalli
Narsipatnam,Narasipatnam,Anakapalli
Nathavaram,Narasipatnam,Anakapalli
Ravikamatham,Narasipatnam,Anakapalli
Rolugunta,Narasipatnam,Anakapalli
Anantapur,Anantapur,Ananthapuramu
Atmakur,Anantapur,Ananthapuramu
Bukkaraya Samudram,Anantapur,Ananthapuramu
Garladinne,Anantapur,Ananthapuramu
Kudair,Anantapur,Ananthapuramu
Narpala,Anantapur,Ananthapuramu
Peddapappur,Anantapur,Ananthapuramu
Putlur,Anantapur,Ananthapuramu
Raptadu,Anantapur,Ananthapuramu
Singanamala,Anantapur,Ananthapuramu
Tadipatri,Anantapur,Ananthapuramu
Yellanur,Anantapur,Ananthapuramu
Gooty,Guntakal,Ananthapuramu
Guntakal,Guntakal,Ananthapuramu
Pamidi,Guntakal,Ananthapuramu
Peddavadugur,Guntakal,Ananthapuramu
Uravakonda,Guntakal,Ananthapuramu
Vajrakarur,Guntakal,Ananthapuramu
Vidapanakal,Guntakal,Ananthapuramu
Yadiki,Guntakal,Ananthapuramu
Beluguppa,Kalyanadurg,Ananthapuramu
Bommanahal,Kalyanadurg,Ananthapuramu
Brahmasamudram,Kalyanadurg,Ananthapuramu
D.Hirehal,Kalyanadurg,Ananthapuramu
Gummagatta,Kalyanadurg,Ananthapuramu
Kalyandurg,Kalyanadurg,Ananthapuramu
Kambadur,Kalyanadurg,Ananthapuramu
Kanekal,Kalyanadurg,Ananthapuramu
Kundurpi,Kalyanadurg,Ananthapuramu
Rayadurg,Kalyanadurg,Ananthapuramu
Settur,Kalyanadurg,Ananthapuramu
Beerangi Kothakota,Madanapalle,Annamayya
Chowdepalle,Madanapalle,Annamayya
Kurabalakota,Madanapalle,Annamayya
Madanapalle,Madanapalle,Annamayya
Mulakalacheruvu,Madanapalle,Annamayya
Nimmanapalle,Madanapalle,Annamayya
Peddamandyam,Madanapalle,Annamayya
Peddathippasamudram,Madanapalle,Annamayya
Punganur,Madanapalle,Annamayya
Ramasamudram,Madanapalle,Annamayya
Thamballapalle,Madanapalle,Annamayya
Gurramkonda,Pileru,Annamayya
Kalakada,Pileru,Annamayya
Kalikiri,Pileru,Annamayya
Kambhamvaripalle,Pileru,Annamayya
Pileru,Pileru,Annamayya
