Region,District
North Andhra,Alluri Sitharama Raju
North Andhra,Anakapalli
North Andhra,Parvathipuram Manyam
North Andhra,Polavaram
North Andhra,Srikakulam
North Andhra,Visakhapatnam
North Andhra,Vizianagaram
Coastal Andhra,Bapatla
Coastal Andhra,Konaseema
Coastal Andhra,East Godavari
Coastal Andhra,Eluru
Coastal Andhra,Guntur
Coastal Andhra,Kakinada
Coastal Andhra,Krishna
Coastal Andhra,Markapuram
Coastal Andhra,NTR
Coastal Andhra,Palnadu
Coastal Andhra,Prakasam
Coastal Andhra,Nellore
Coastal Andhra,West Godavari
Rayalaseema,Ananthapuramu
Rayalaseema,Annamayya
Rayalaseema,Chittoor
Rayalaseema,YSR Kadapa
Rayalaseema,Kurnool
Rayalaseema,Nandyal
Rayalaseema,Sri Sathya Sai
Rayalaseema,Tirupati
