Mandal,Revenue_Division,District
Ananthagiri,Paderu,Alluri Sitharama Raju
Araku Valley,Paderu,Alluri Sitharama Raju
Chintapalle,Paderu,Alluri Sitharama Raju
Dumbriguda,Paderu,Alluri Sitharama Raju
G. Madugula,Paderu,Alluri Sitharama Raju
Gudem Kotha Veedhi,Paderu,Alluri Sitharama Raju
Hukumpeta,Paderu,Alluri Sitharama Raju
Koyyuru,Paderu,Alluri Sitharama Raju
Munchingi Puttu,Paderu,Alluri Sitharama Raju
Paderu,Paderu,Alluri Sitharama Raju
Peda Bayalu,Paderu,Alluri Sitharama Raju
Atchutapuram,Adduroad Junction,Anakapalli
Elamanchili,Adduroad Junction,Anakapalli
Kotauratla,Adduroad Junction,Anakapalli
Nakkapalle,Adduroad Junction,Anakapalli
Payakaraopeta,Adduroad Junction,Anakapalli
Rambilli,Adduroad Junction,Anakapalli
Sarvasiddhi Rayavaram,Adduroad Junction,Anakapalli
Anakapalle,Anakapalli,Anakapalli
Butchayyapeta,Anakapalli,Anakapalli
Cheedikada,Anakapalli,Anakapalli
Chodavaram,Anakapalli,Anakapalli
Devarapalli,Anakapalli,Anakapalli
K.Kotapadu,Anakapalli,Anakapalli
Kasimkota,Anakapalli,Anakapalli
Munagapaka,Anakapalli,Anakapalli
Paravada,Anakapalli,Anakapalli
Sabbavaram,Anakapalli,Anakapalli
Golugonda,Narasipatnam,Anakapalli
Madugula,Narasipatnam,Anakapalli
Makavarapalem,Narasipatnam,Anakapalli
Narsipatnam,Narasipatnam,Anakapalli
Nathavaram,Narasipatnam,Anakapalli
Ravikamatham,Narasipatnam,Anakapalli
Rolugunta,Narasipatnam,Anakapalli
Anantapur,Anantapur,Anantapuram
Atmakur,Anantapur,Anantapuram
Bukkaraya Samudram,Anantapur,Anantapuram
Garladinne,Anantapur,Anantapuram
Kudair,Anantapur,Anantapuram
Narpala,Anantapur,Anantapuram
Peddapappur,Anantapur,Anantapuram
Putlur,Anantapur,Anantapuram
Raptadu,Anantapur,Anantapuram
Singanamala,Anantapur,Anantapuram
Tadipatri,Anantapur,Anantapuram
Yellanur,Anantapur,Anantapuram
Gooty,Guntakal,Anantapuram
Guntakal,Guntakal,Anantapuram
Pamidi,Guntakal,Anantapuram
Peddavadugur,Guntakal,Anantapuram
Uravakonda,Guntakal,Anantapuram
Vajrakarur,Guntakal,Anantapuram
Vidapanakal,Guntakal,Anantapuram
Yadiki,Guntakal,Anantapuram
Beluguppa,Kalyanadurg,Anantapuram
Bommanahal,Kalyanadurg,Anantapuram
Brahmasamudram,Kalyanadurg,Anantapuram
D.Hirehal,Kalyanadurg,Anantapuram
Gummagatta,Kalyanadurg,Anantapuram
Kalyandurg,Kalyanadurg,Anantapuram
Kambadur,Kalyanadurg,Anantapuram
Kanekal,Kalyanadurg,Anantapuram
Kundurpi,Kalyanadurg,Anantapuram
Rayadurg,Kalyanadurg,Anantapuram
Settur,Kalyanadurg,Anantapuram
Beerangi Kothakota,Madanapalle,Annamayya
Chowdepalle,Madanapalle,Annamayya
Kurabalakota,Madanapalle,Annamayya
Madanapalle,Madanapalle,Annamayya
Mulakalacheruvu,Madanapalle,Annamayya
Nimmanapalle,Madanapalle,Annamayya
Peddamandyam,Madanapalle,Annamayya
Peddathippasamudram,Madanapalle,Annamayya
Punganur,Madanapalle,Annamayya
Ramasamudram,Madanapalle,Annamayya
Thamballapalle,Madanapalle,Annamayya
Gurramkonda,Pileru,Annamayya
Kalakada,Pileru,Annamayya
Kalikiri,Pileru,Annamayya
Kambhamvaripalle,Pileru,Annamayya
Pileru,Pileru,Annamayya
Sodam,Pileru,Annamayya
Somala,Pileru,Annamayya
Vayalpad,Pileru,Annamayya
